code,category,source_sheet,name_ru,name_ru_alt,name_cn,name_en,standard_hours
MANTGX_MALOE_TO_MASLO_FILTRY,1. Базовое ТО,1. Базовое ТО,Малое ТО (масло + фильтры),"малое то; масло и фильтры; базовое то; малое техническое обслуживание",,,2.0
MANTGX_RASSHIRENNOE_TO,1. Базовое ТО,1. Базовое ТО,Расширенное ТО,"расширенное то; полное то; большое техническое обслуживание",,,3.3
MANTGX_DIAGNOSTIKA_ELEKTRONNAYA,1. Базовое ТО,1. Базовое ТО,Диагностика электронная,"электронная диагностика; компьютерная диагностика; чтение ошибок; диагностич память автомоб в целом считать сохранить удалить",,,1.0
MANTGX_KOMPLEKSNAYA_DIAGNOSTIKA,1. Базовое ТО,1. Базовое ТО,Комплексная диагностика,"комплексная диагностика; полная диагностика автомобиля",,,3.0
MANTGX_ZAMENA_MASLA_DVIGATELYA,2. Двигатель и фильтры,2. Двигатель и фильтры,Замена масла двигателя,"замена моторного масла; масло двигателя",,,0.7
MANTGX_MASLYANYY_FILTR,2. Двигатель и фильтры,2. Двигатель и фильтры,Масляный фильтр,"замена масляного фильтра; фильтр масла",,,0.4
MANTGX_ZAMENA_MASLA_I_FILTRA,2. Двигатель и фильтры,2. Двигатель и фильтры,Замена масла двигателя и масляного фильтра,"замена моторного масла и масляного фильтра; замена масла и масляного фильтра",,,1.1
MANTGX_VOZDUSHNYY_FILTR,2. Двигатель и фильтры,2. Двигатель и фильтры,Воздушный фильтр,"замена воздушного фильтра; фильтр воздухоочистителя",,,0.3
MANTGX_VOZDUSHNYY_FILTR_ELEMENT,2. Двигатель и фильтры,2. Двигатель и фильтры,Замена элемента воздушного фильтра,"элемент сухого воздушного фильтра; элемент воздушного фильтра обновление",,,0.3
MANTGX_SALONNYY_FILTR,2. Двигатель и фильтры,2. Двигатель и фильтры,Салонный фильтр,"замена салонного фильтра; фильтр кабины; салонный фильтр пылевой фильтр обновление",,,0.3
MANTGX_TOPLIVNYY_FILTR_1_SHT,2. Двигатель и фильтры,2. Двигатель и фильтры,Топливный фильтр (1 шт),"замена топливного фильтра 1 шт; один топливный фильтр; топлфильтр грубочистки racor separ обновление; топл фильтр груб очистки racor separ обновление",,,0.4
MANTGX_TOPLIVNYE_FILTRY_2_SHT,2. Двигатель и фильтры,2. Двигатель и фильтры,Топливные фильтры (2 шт),"замена топливных фильтров; два топливных фильтра; фильтр сепаратора и топливный фильтр; фильтрующий элемент обновление",,,0.7
