code,category,source_sheet,name_ru,name_ru_alt,name_cn,name_en,standard_hours
VOLVOFH_SVC_B_SERVICE,1. Базовое ТО,1. Базовое ТО,Базовое ТО (B-service),"базовое техническое обслуживание; b service; стандартное ТО",,,2.10
VOLVOFH_SVC_C_SERVICE,1. Базовое ТО,1. Базовое ТО,Расширенное ТО (C-service),"расширенное техническое обслуживание; c service; полное ТО",,,3.30
VOLVOFH_SVC_DIAGNOSTICS,1. Базовое ТО,1. Базовое ТО,Диагностика и сканирование,"диагностика; сканирование; чтение ошибок; компьютерная диагностика",,,3.00
VOLVOFH_SVC_CHASSIS_INSPECTION,1. Базовое ТО,1. Базовое ТО,Осмотр ходовой части,"осмотр ходовой; проверка подвески; инспекционный осмотр",,,0.80
VOLVOFH_ENG_OIL_CHANGE,2. Двигатель и фильтры,2. Двигатель и фильтры,Замена масла ДВС,"масло двс замена; замена моторного масла",,,0.50
VOLVOFH_ENG_OIL_FILTER,2. Двигатель и фильтры,2. Двигатель и фильтры,Замена масляного фильтра,"масляный фильтр; фильтр масла",,,0.30
VOLVOFH_ENG_OIL_AND_FILTER,2. Двигатель и фильтры,2. Двигатель и фильтры,Замена масла ДВС и масляного фильтра,"двигатель масло и фильтр замена; замена масла и масляного фильтра; масло и фильтр двс",,,0.80
VOLVOFH_ENG_FUEL_FILTER_SINGLE,2. Двигатель и фильтры,2. Двигатель и фильтры,Замена топливного фильтра (1 шт),"топливный фильтр один; фильтр топлива 1 шт",,,0.50
VOLVOFH_ENG_FUEL_FILTER_PAIR,2. Двигатель и фильтры,2. Двигатель и фильтры,Замена топливных фильтров (2 шт),"топливные фильтры; фильтр сепаратора и топливный фильтр; топливный фильтр и фильтр водоотделителя замена; фильтр водоотделителя",,,0.70
VOLVOFH_ENG_AIR_FILTER,2. Двигатель и фильтры,2. Двигатель и фильтры,Замена воздушного фильтра,"воздушный фильтр; фильтр воздухоочистителя",,,0.30
VOLVOFH_ENG_CABIN_FILTER,2. Двигатель и фильтры,2. Двигатель и фильтры,Замена салонного фильтра,"салонный фильтр; фильтр кабины; фильтр кондиционера",,,0.30
VOLVOFH_ENG_FLUID_LEVELS,2. Двигатель и фильтры,2. Двигатель и фильтры,Проверка уровня жидкостей,"уровень жидкостей; проверка жидкостей",,,0.40
VOLVOFH_ENG_TURBO_REPLACE,3. Двигатель (ремонт),3. Двигатель (ремонт),Замена турбины,"турбина замена; турбокомпрессор замена",,,4.80
VOLVOFH_ENG_INJECTORS_SET,3. Двигатель (ремонт),3. Двигатель (ремонт),Замена комплекта форсунок,"форсунки комплект; комплект форсунок",,,5.30
VOLVOFH_ENG_WATER_PUMP,3. Двигатель (ремонт),3. Двигатель (ремонт),Замена водяного насоса,"водяной насос; помпа",,,2.90
VOLVOFH_ENG_AIR_COMPRESSOR,3. Двигатель (ремонт),3. Двигатель (ремонт),Замена компрессора воздуха,"компрессор воздуха; воздушный компрессор",,,5.00
VOLVOFH_ENG_RADIATOR,3. Двигатель (ремонт),3. Двигатель (ремонт),Замена радиатора,"радиатор замена; радиатор охлаждения",,,6.50
VOLVOFH_ENG_EGR,3. Двигатель (ремонт),3. Двигатель (ремонт),Ремонт или замена EGR,"egr; клапан egr; система egr",,,5.50
VOLVOFH_ENG_DPF_RI,3. Двигатель (ремонт),3. Двигатель (ремонт),DPF демонтаж и установка,"dpf; сажевый фильтр; демонтаж dpf; установка dpf",,,3.30
VOLVOFH_TRN_CLUTCH,4. Трансмиссия и привод,4. Трансмиссия и привод,Замена сцепления,"сцепление замена; комплект сцепления",,,10.00
VOLVOFH_TRN_GEARBOX,4. Трансмиссия и привод,4. Трансмиссия и привод,Замена КПП,"коробка передач замена; кпп",,,9.50
VOLVOFH_TRN_UJOINT,4. Трансмиссия и привод,4. Трансмиссия и привод,Замена крестовины кардана,"кардан; крестовина; карданный вал",,,2.00
VOLVOFH_TRN_CENTER_BEARING,4. Трансмиссия и привод,4. Трансмиссия и привод,Замена подвесного подшипника,"подвесной подшипник кардана",,,2.00
VOLVOFH_TRN_FINAL_DRIVE,4. Трансмиссия и привод,4. Трансмиссия и привод,Ремонт главной передачи,"главная передача; редуктор",,,7.00
VOLVOFH_BRK_ONE_AXLE,5. Ходовая и тормоза,5. Ходовая и тормоза,Тормоза (1 ось),"тормоза одна ось; колодки 1 ось",,,2.10
